===== BMS 电池安全监测日志 =====
[2025-12-19 18:56:37] PACK 总电压:  43.58 V | 电池电流: 放电   1.77 A | SOC:  16 % | 最高温度:  31.0 ℃ | 状态: 正常
[2025-12-19 18:56:42] PACK 总电压:  43.58 V | 电池电流: 放电   1.91 A | SOC:  16 % | 最高温度:  31.0 ℃ | 状态: 正常
[2025-12-19 18:56:47] PACK 总电压:  43.55 V | 电池电流: 放电   2.00 A | SOC:  16 % | 最高温度:  31.0 ℃ | 状态: 正常
[2025-12-19 18:56:52] PACK 总电压:  43.55 V | 电池电流: 放电   1.82 A | SOC:  16 % | 最高温度:  31.0 ℃ | 状态: 正常
[2025-12-19 18:56:57] PACK 总电压:  43.54 V | 电池电流: 放电   1.77 A | SOC:  16 % | 最高温度:  31.0 ℃ | 状态: 正常
[2025-12-19 18:57:02] PACK 总电压:  43.52 V | 电池电流: 放电   2.03 A | SOC:  16 % | 最高温度:  31.0 ℃ | 状态: 正常
[2025-12-19 18:57:08] PACK 总电压:  43.53 V | 电池电流: 放电   1.90 A | SOC:  15 % | 最高温度:  31.0 ℃ | 状态: 正常
[2025-12-19 18:57:13] PACK 总电压:  43.49 V | 电池电流: 放电   2.14 A | SOC:  15 % | 最高温度:  31.0 ℃ | 状态: 正常
[2025-12-19 18:57:18] PACK 总电压:  43.50 V | 电池电流: 放电   1.89 A | SOC:  15 % | 最高温度:  31.0 ℃ | 状态: 正常
[2025-12-19 18:57:23] PACK 总电压:  43.49 V | 电池电流: 放电   1.77 A | SOC:  15 % | 最高温度:  31.0 ℃ | 状态: 正常
[2025-12-19 18:57:28] PACK 总电压:  43.48 V | 电池电流: 放电   1.86 A | SOC:  15 % | 最高温度:  31.0 ℃ | 状态: 正常
[2025-12-19 18:57:33] PACK 总电压:  43.47 V | 电池电流: 放电   1.77 A | SOC:  15 % | 最高温度:  31.0 ℃ | 状态: 正常
[2025-12-19 18:57:38] PACK 总电压:  43.44 V | 电池电流: 放电   1.76 A | SOC:  15 % | 最高温度:  31.0 ℃ | 状态: 正常
[2025-12-19 18:57:43] PACK 总电压:  43.41 V | 电池电流: 放电   1.93 A | SOC:  15 % | 最高温度:  31.0 ℃ | 状态: 正常
[2025-12-19 18:57:48] PACK 总电压:  43.31 V | 电池电流: 放电   2.00 A | SOC:  15 % | 最高温度:  31.0 ℃ | 状态: 正常
[2025-12-19 18:57:53] PACK 总电压:  43.43 V | 电池电流: 放电   1.81 A | SOC:  15 % | 最高温度:  31.0 ℃ | 状态: 正常
[2025-12-19 18:57:58] PACK 总电压:  43.41 V | 电池电流: 放电   1.80 A | SOC:  15 % | 最高温度:  31.0 ℃ | 状态: 正常
[2025-12-19 18:58:03] PACK 总电压:  43.39 V | 电池电流: 放电   1.79 A | SOC:  15 % | 最高温度:  31.0 ℃ | 状态: 正常
[2025-12-19 18:58:09] PACK 总电压:  43.35 V | 电池电流: 放电   1.80 A | SOC:  15 % | 最高温度:  31.0 ℃ | 状态: 正常
[2025-12-19 18:58:14] PACK 总电压:  43.35 V | 电池电流: 放电   1.81 A | SOC:  15 % | 最高温度:  31.0 ℃ | 状态: 正常
[2025-12-19 18:58:19] PACK 总电压:  43.36 V | 电池电流: 放电   1.81 A | SOC:  15 % | 最高温度:  31.0 ℃ | 状态: 正常
[2025-12-19 18:58:24] PACK 总电压:  43.36 V | 电池电流: 放电   1.81 A | SOC:  15 % | 最高温度:  31.0 ℃ | 状态: 正常
[2025-12-19 18:58:29] PACK 总电压:  43.32 V | 电池电流: 放电   1.73 A | SOC:  15 % | 最高温度:  31.0 ℃ | 状态: 正常
[2025-12-19 18:58:34] PACK 总电压:  43.32 V | 电池电流: 放电   1.73 A | SOC:  15 % | 最高温度:  31.0 ℃ | 状态: 正常
[2025-12-19 18:58:39] PACK 总电压:  43.32 V | 电池电流: 放电   1.70 A | SOC:  15 % | 最高温度:  31.0 ℃ | 状态: 正常
[2025-12-19 18:58:44] PACK 总电压:  43.34 V | 电池电流: 放电   1.72 A | SOC:  15 % | 最高温度:  31.0 ℃ | 状态: 正常
[2025-12-19 18:58:49] PACK 总电压:  43.30 V | 电池电流: 放电   1.72 A | SOC:  15 % | 最高温度:  31.0 ℃ | 状态: 正常
[2025-12-19 18:58:54] PACK 总电压:  43.30 V | 电池电流: 放电   1.72 A | SOC:  15 % | 最高温度:  31.0 ℃ | 状态: 正常
[2025-12-19 18:58:59] PACK 总电压:  43.27 V | 电池电流: 放电   1.70 A | SOC:  15 % | 最高温度:  31.0 ℃ | 状态: 正常
[2025-12-19 18:59:04] PACK 总电压:  43.27 V | 电池电流: 放电   1.71 A | SOC:  15 % | 最高温度:  31.0 ℃ | 状态: 正常
[2025-12-19 18:59:10] PACK 总电压:  43.26 V | 电池电流: 放电   1.71 A | SOC:  15 % | 最高温度:  31.0 ℃ | 状态: 正常
[2025-12-19 18:59:15] PACK 总电压:  43.25 V | 电池电流: 放电   1.70 A | SOC:  15 % | 最高温度:  31.0 ℃ | 状态: 正常
[2025-12-19 18:59:20] PACK 总电压:  43.71 V | 电池电流: 充电   3.38 A | SOC:  15 % | 最高温度:  31.0 ℃ | 状态: 正常
[2025-12-19 18:59:25] PACK 总电压:  43.79 V | 电池电流: 充电   3.35 A | SOC:  15 % | 最高温度:  31.0 ℃ | 状态: 正常
[2025-12-19 18:59:30] PACK 总电压:  43.88 V | 电池电流: 充电   3.36 A | SOC:  15 % | 最高温度:  31.0 ℃ | 状态: 正常
[2025-12-19 18:59:35] PACK 总电压:  43.91 V | 电池电流: 充电   3.37 A | SOC:  15 % | 最高温度:  31.0 ℃ | 状态: 正常
[2025-12-19 18:59:40] PACK 总电压:  43.95 V | 电池电流: 充电   3.36 A | SOC:  15 % | 最高温度:  31.0 ℃ | 状态: 正常
[2025-12-19 18:59:45] PACK 总电压:  43.97 V | 电池电流: 充电   3.07 A | SOC:  15 % | 最高温度:  31.0 ℃ | 状态: 正常
[2025-12-19 18:59:50] PACK 总电压:  44.02 V | 电池电流: 充电   3.27 A | SOC:  15 % | 最高温度:  31.0 ℃ | 状态: 正常
[2025-12-19 18:59:55] PACK 总电压:  44.00 V | 电池电流: 充电   2.91 A | SOC:  15 % | 最高温度:  31.0 ℃ | 状态: 正常
[2025-12-19 19:00:00] PACK 总电压:  44.08 V | 电池电流: 充电   3.27 A | SOC:  15 % | 最高温度:  31.0 ℃ | 状态: 正常
[2025-12-19 19:00:05] PACK 总电压:  44.16 V | 电池电流: 充电   3.30 A | SOC:  15 % | 最高温度:  31.0 ℃ | 状态: 正常
[2025-12-19 19:00:11] PACK 总电压:  44.15 V | 电池电流: 充电   3.20 A | SOC:  15 % | 最高温度:  30.9 ℃ | 状态: 正常
